Player,Team,AB,R,H,2B,3B,HR,RBI,TB,BB,HBP,SO,GDP,SF,SH,SB,CS
"ADOLFO, Micker",DOM,5,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0
"ADRIANZA, Ehire",VEN,12,2,4,1,0,2,5,11,2,0,5,0,0,0,0,0
"ALCÁNTARA, Arismendy",DOM,16,4,5,0,0,2,4,11,1,0,7,0,0,0,3,0
"ALVAREZ, Andres",MEX,21,3,4,0,0,0,1,4,1,0,4,0,0,0,0,0
"AMARISTA, Alexi",VEN,35,4,8,3,0,0,2,11,2,0,2,1,2,0,1,0
"ARCIA, Francisco",VEN,14,2,6,0,0,0,3,6,2,1,3,0,0,0,0,0
"ARRUEBARRUENA, Erisbel",CUB,19,0,4,1,0,0,1,5,0,1,8,0,0,0,0,0
"BALDOQUIN, Roberto",CUB,5,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0
"BALDWIN, Drake",USA,14,4,3,1,0,0,1,4,2,0,4,0,0,0,0,0
"BARRERA, Tres",MEX,6,2,1,0,0,1,1,4,1,0,2,0,0,0,0,0
"BAZZANA, Travis",AUS,19,1,5,0,0,0,1,5,2,0,6,0,0,0,2,1
"BOJARSKI, Ulrich",AUS,10,1,1,0,0,1,1,4,2,1,3,0,0,0,0,0
"BOWEY, Jake",AUS,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"CAMARGO, Johan",PAN,9,1,2,1,0,0,0,3,1,0,2,0,0,0,0,0
"CARTER, Chris",MEX,18,2,3,1,0,1,1,7,4,0,7,0,0,0,0,0
"CASTILLO, Diego",VEN,31,2,8,3,0,1,8,14,0,0,8,2,1,1,0,1
"CASTILLO, Luis",PAN,20,2,5,0,0,1,3,8,1,0,5,0,0,0,0,0
"CEBALLOS, Sabin",PUR,17,3,7,2,0,2,5,15,2,1,5,0,0,0,0,0
"CENTENO, Juan",PUR,9,0,1,0,0,0,0,1,2,1,3,0,0,0,0,1
"CESPEDES, Ricardo",DOM,14,3,5,1,0,0,0,6,1,0,3,0,0,0,1,1
"CHANG, Cheng-Yu",TPE,19,4,3,2,0,0,2,5,1,0,7,0,0,0,1,0
"CHEN, Chen-Wei",TPE,32,5,8,0,1,1,5,13,3,0,5,0,0,0,1,0
"CHEN, Chieh-Hsien",TPE,24,5,15,1,0,2,6,22,4,2,2,0,0,0,2,0
"CHIANG, Kun-Yu",TPE,24,3,7,1,1,1,4,13,2,2,6,0,0,0,0,0
"CHIU, Chih-Cheng",TPE,10,2,2,1,0,0,2,3,1,0,3,0,0,0,0,0
"CHOI, Wonjun",KOR,12,3,3,1,0,0,3,4,2,0,5,1,0,0,1,0
"CHU, Yu-Hsien",TPE,19,0,2,0,0,0,0,2,4,0,5,0,0,0,0,0
"CLEMENTINA, Hendrik",NED,21,6,7,2,0,2,5,15,1,0,7,0,0,0,0,0
"CORDERO, Andretty",DOM,19,1,4,2,0,0,0,6,0,0,3,1,0,0,0,0
"CORTES, Carlos",PUR,19,1,7,2,0,0,3,9,1,0,2,0,0,0,0,0
"COSME, Andi",CUB,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"CRAWFORD, Justin",USA,32,3,8,3,0,1,4,14,3,0,6,1,1,0,1,0
"CROES, Dayson",NED,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"DAI, Pei-Fong",TPE,11,1,4,1,0,1,1,8,0,0,2,1,0,0,0,0
"DALE, Jarryd",AUS,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"DE LA CRUZ, Daneurys",DOM,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"DE LEÓN, Michael",DOM,17,0,4,1,0,0,1,5,0,0,2,2,0,1,0,0
"DESPAIGNE, Alfredo",CUB,18,2,5,0,0,0,1,5,3,0,4,1,0,0,0,0
"DEVANNEY, Cam",USA,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"DEVERS, José",DOM,14,2,2,0,0,0,0,2,0,0,4,0,0,0,0,0
"DIAZ, Randal",PUR,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"DIDDER, Ray-Patrick",NED,18,2,7,1,0,1,4,11,1,0,3,2,0,0,0,0
"DRAKE, Yadir",CUB,19,4,7,1,0,1,5,11,3,0,8,1,0,0,0,0
"ELKO, Tim",USA,9,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0
"EVANS, Phillip",MEX,17,1,1,0,0,0,0,1,2,0,4,0,0,0,0,0
"FELIX, Edrick",PUR,6,0,1,0,0,0,1,1,0,0,4,0,0,0,0,0
"FERRER, Jaime",PUR,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"FLORENTINO, Randy",DOM,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"FLORES, Ramon",VEN,24,4,4,3,0,0,2,7,5,0,3,0,0,0,0,1
"GAITAN, Alonso",MEX,19,5,10,4,0,1,4,17,3,0,7,1,0,0,0,1
"GENDA, Sosuke",JPN,18,3,5,0,0,1,2,8,3,0,4,0,0,0,0,0
"GEORGE, Darryl",AUS,16,1,5,1,0,0,1,6,3,0,6,0,0,0,0,0
