Player,Team,W,L,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,2B,3B,HR,AB,BAVG,WP,HB,BK,SFA,SHA,GO,FO,WHIP
"ADLER, Eric",USA,0,1,3,0,0,0,0,3.0,4,4,3,3,2,0,0,1,12,0.333,0,0,0,0,2,7,0,2.33
"AGRAZAL, Dario",PAN,0,0,1,1,0,0,0,3.2,5,2,2,2,4,2,0,0,17,0.294,0,0,1,0,0,5,2,2.19
"ALANIZ, R.J.",MEX,0,0,3,0,2,0,0,3.0,2,0,0,0,5,0,0,0,11,0.182,0,0,0,0,0,1,3,0.67
"ALTAVILLA, Dan",USA,0,0,5,0,0,0,0,5.1,1,1,1,1,10,0,0,1,16,0.063,0,1,0,0,0,3,2,0.39
"ALVAREZ, Frank",CUB,0,0,2,0,0,0,0,2.2,2,1,1,3,1,1,0,0,9,0.222,0,0,0,0,0,2,4,2.27
"ALVAREZ, Jose",VEN,0,1,5,0,0,0,0,4.1,7,2,2,2,6,0,1,0,19,0.368,0,0,0,0,0,2,4,2.2
"ATHERTON, Tim",AUS,0,0,3,2,0,0,0,5.0,5,1,1,1,4,0,0,0,20,0.25,0,0,0,0,0,4,6,1.2
"BALDONADO, Alberto",PAN,1,1,3,0,1,0,0,4.2,2,1,0,2,8,0,0,0,16,0.125,0,0,0,0,0,3,3,0.95
"BARRIA, Jaime",PAN,0,0,2,2,0,0,0,10.0,13,6,6,2,5,3,0,3,40,0.325,0,0,0,0,0,12,10,1.5
"BAÑUELOS, Manny",MEX,0,1,2,1,0,0,0,2.2,7,5,5,2,3,1,0,1,15,0.467,1,1,0,0,0,2,3,4.09
"BENITEZ, Jorge",PUR,0,0,4,0,0,0,0,4.1,1,0,0,3,4,0,0,0,14,0.071,0,0,0,0,0,5,4,0.98
"BENSCHOTER, Sam",USA,1,2,3,0,0,0,0,5.1,8,3,3,2,7,2,1,1,24,0.333,2,0,0,0,0,5,4,1.96
"BERMUDEZ, Jonathan",PUR,0,0,2,2,0,0,0,8.1,5,2,2,3,9,1,0,1,29,0.172,0,0,0,0,0,4,11,0.99
"BERRIOS, Osvaldo",PUR,0,0,3,0,0,0,0,6.0,3,2,2,0,3,0,0,1,20,0.15,0,2,0,0,0,6,7,0.5
"BRETO, Liarvis",VEN,1,0,5,0,0,0,0,5.1,4,1,1,2,6,0,0,1,18,0.222,0,0,0,0,2,7,3,1.18
"BURGOS, Enrique",PAN,0,0,1,0,1,0,0,2.1,0,0,0,0,2,0,0,0,7,0.0,0,0,0,0,0,1,4,0.0
"BURGOS, Raymond",PUR,1,0,3,0,0,0,0,4.0,4,1,1,1,3,0,0,1,15,0.267,0,0,0,0,0,3,5,1.25
"CACERES, Bryan",PAN,0,1,1,1,0,0,0,0.1,2,4,4,2,0,1,0,0,3,0.667,0,1,0,0,0,1,0,40.0
"CASTILLO, Diego",DOM,0,1,3,0,0,0,0,2.0,6,5,5,1,2,3,1,0,13,0.462,0,0,0,0,0,1,3,3.5
"CASTILLO, Max",VEN,0,0,2,1,0,0,0,3.1,4,2,1,4,3,1,0,0,11,0.364,0,1,0,0,0,2,2,2.58
"CHACON, Ojani",PUR,0,0,1,0,0,0,0,0.0,1,1,1,0,0,0,0,0,1,1.0,0,0,0,0,0,0,0,0.0
"CHANG, Yi",TPE,3,0,5,0,0,0,0,8.0,4,0,0,1,9,0,0,0,28,0.143,0,0,0,0,0,6,9,0.63
"CHEN, Kuan-Wei",TPE,0,0,5,0,0,0,0,5.0,4,1,1,0,8,1,0,1,19,0.211,0,0,0,0,0,4,3,0.8
"CHEN, Kuan-Yu",TPE,0,0,6,0,0,0,0,5.2,1,0,0,1,7,0,0,0,18,0.056,0,0,0,0,0,6,4,0.38
"CHEN, Po-Ching",TPE,0,2,3,3,0,0,0,5.2,4,7,6,7,3,2,0,2,21,0.19,1,1,0,1,0,6,8,2.12
"CHIANG, Kuo-Hao",TPE,1,0,3,0,0,0,0,6.1,7,1,1,4,7,2,0,0,25,0.28,0,0,0,1,0,5,7,1.8
"CHOI, Ji Min",KOR,0,0,3,0,0,0,0,3.1,1,1,1,0,2,0,0,0,11,0.091,0,1,0,0,0,4,4,0.32
"CHOI, Seungyong",KOR,0,0,2,1,0,0,0,2.1,4,2,2,1,2,0,0,0,11,0.364,0,0,0,0,0,4,1,2.38
"CHU, Gilberto",PAN,0,0,1,0,0,0,0,1.0,3,3,3,1,2,0,0,1,6,0.5,0,0,0,0,0,1,0,4.0
"CHUANG, Hsin Yen",TPE,0,0,5,0,0,0,0,4.0,1,1,1,0,3,0,0,1,13,0.077,0,0,0,0,0,6,3,0.25
"CINTRON, Luis",PUR,0,0,1,0,0,0,0,1.0,1,0,0,0,0,1,0,0,4,0.25,0,0,0,0,0,0,3,1.0
"CORNIEL, Robert",DOM,0,0,2,0,0,0,0,3.0,1,1,1,2,2,0,0,0,9,0.111,0,1,0,0,0,4,2,1.0
"CRUZ, Jesus",MEX,1,1,3,0,0,0,0,3.2,2,1,0,0,6,0,0,0,12,0.167,0,0,0,1,0,3,1,0.63
"CRUZ, Luis",PUR,0,1,3,1,1,0,0,2.2,3,3,3,4,0,0,0,0,9,0.333,2,0,0,0,1,4,3,3.18
"DE BLOK, Tom",NED,1,0,1,1,0,0,0,5.0,7,3,3,3,2,0,0,2,21,0.333,0,0,0,0,0,4,8,2.0
"DRURY, Austin",USA,0,0,2,0,0,0,0,1.1,1,1,1,0,0,0,0,0,4,0.25,0,1,0,0,0,1,2,0.91
"ESTANISTA, Jaydenn",NED,0,0,1,0,0,0,0,1.0,1,0,0,0,1,0,0,0,4,0.25,0,0,0,0,0,1,1,1.0
